gene,0um-16H,1um-16H,2um-16H,4um-16H,8um-16H
SPBC4F6.10,50.000000,45.989233,23.612335,32.824207,47.730871
SPBC4F6.11c,5.000000,3.606999,5.903084,3.861671,3.535620
SPBC18A7.01,143.000000,143.378197,129.867841,129.365994,145.844327
SPBC530.04,417.000000,429.232840,363.039648,480.778098,380.963061
SPBC557.05,110.000000,111.816958,144.625551,160.259366,177.664908
SPBC365.20c,249.000000,407.590848,239.074890,274.178674,274.010554
SPBC56F2.10c,265.000000,229.044414,185.947137,310.864553,285.501319
SPBC577.11,557.000000,500.471063,581.453744,546.426513,477.308707
SPBC577.14c,1795.000000,1385.989233,1407.885463,1251.181556,1310.831135
SPBC106.20,670.000000,670.000000,670.000000,670.000000,670.000000
